lat_deg,f00_off_log2,f00_on_log2,f00_off_dev,f00_on_dev,f32_off_log2,f32_on_log2,f32_off_dev,f32_on_dev,f64_off_log2,f64_on_log2,f64_off_dev,f64_on_dev
2.856,-3.29035,-3.13040,-0.08914,0.07929,-3.30052,-3.15071,-0.08407,0.06682,-3.27205,-3.14118,-0.06673,0.08117
2.769,-3.27269,-3.12039,-0.07063,0.09016,-3.28480,-3.14271,-0.06753,0.07565,-3.26650,-3.14107,-0.06034,0.08210
2.681,-3.25959,-3.11537,-0.05669,0.09604,-3.27063,-3.13700,-0.05255,0.08218,-3.26093,-3.14190,-0.05393,0.08211
2.593,-3.25292,-3.11658,-0.04918,0.09569,-3.25969,-3.13463,-0.04079,0.08538,-3.25341,-3.14135,-0.04557,0.08348
2.505,-3.24795,-3.11911,-0.04336,0.09403,-3.25116,-3.13424,-0.03144,0.08661,-3.24570,-3.14061,-0.03702,0.08506
2.417,-3.24300,-3.12115,-0.03756,0.09285,-3.24257,-3.13330,-0.02204,0.08838,-3.23811,-3.13998,-0.02859,0.08652
2.329,-3.23562,-3.12093,-0.02933,0.09394,-3.23813,-3.13618,-0.01677,0.08633,-3.23035,-3.13914,-0.01999,0.08819
2.241,-3.22766,-3.12015,-0.02052,0.09558,-3.23437,-3.13969,-0.01219,0.08366,-3.22238,-3.13805,-0.01117,0.09012
2.153,-3.22033,-3.12009,-0.01234,0.09651,-3.22982,-3.14229,-0.00681,0.08189,-3.21409,-3.13651,-0.00203,0.09249
2.065,-3.21327,-3.12025,-0.00443,0.09722,-3.22491,-3.14453,-0.00108,0.08048,-3.20740,-3.13641,0.00552,0.09342
1.978,-3.20663,-3.12076,0.00307,0.09757,-3.21732,-3.14416,0.00734,0.08169,-3.20417,-3.13956,0.00960,0.09111
1.890,-3.20120,-3.12239,0.00935,0.09681,-3.21139,-3.14533,0.01410,0.08136,-3.19954,-3.14136,0.01508,0.09015
1.802,-3.19821,-3.12632,0.01321,0.09376,-3.20429,-3.14533,0.02203,0.08221,-3.19429,-3.14253,0.02119,0.08982
1.714,-3.19494,-3.12982,0.01734,0.09114,-3.19758,-3.14545,0.02958,0.08292,-3.18886,-3.14332,0.02748,0.08987
1.626,-3.18960,-3.13100,0.02355,0.09083,-3.18413,-3.13853,0.04386,0.09069,-3.18055,-3.14087,0.03665,0.09316
1.538,-3.18160,-3.12958,0.03241,0.09313,-3.17260,-3.13338,0.05623,0.09669,-3.17198,-3.13811,0.04608,0.09676
1.450,-3.17051,-3.12535,0.04437,0.09823,-3.16173,-3.12910,0.06794,0.10181,-3.16476,-3.13692,0.05416,0.09880
1.362,-3.15789,-3.11968,0.05785,0.10478,-3.15320,-3.12722,0.07729,0.10453,-3.15875,-3.13698,0.06104,0.09958
1.274,-3.14414,-3.11287,0.07248,0.11247,-3.14665,-3.12728,0.08469,0.10532,-3.15275,-3.13702,0.06791,0.10039
1.187,-3.13294,-3.10778,0.08454,0.11845,-3.14141,-3.12785,0.09077,0.10560,-3.14536,-3.13509,0.07617,0.10316
1.099,-3.12543,-3.10584,0.09293,0.12127,-3.13722,-3.12895,0.09580,0.10535,-3.13893,-3.13368,0.08347,0.10541
1.011,-3.12090,-3.10673,0.09834,0.12126,-3.13443,-3.13135,0.09944,0.10380,-3.13298,-3.13256,0.09030,0.10739
0.923,-3.11788,-3.10898,0.10223,0.11990,-3.13041,-3.13230,0.10430,0.10370,-3.12430,-3.12851,0.09985,0.11228
0.835,-3.11523,-3.11136,0.10576,0.11840,-3.12509,-3.13179,0.11047,0.10507,-3.11587,-3.12446,0.10915,0.11719
0.747,-3.11131,-3.11195,0.11056,0.11870,-3.12078,-3.13182,0.11562,0.10589,-3.10851,-3.12107,0.11739,0.12143
0.659,-3.10709,-3.11061,0.11566,0.12093,-3.11600,-3.12969,0.12126,0.10888,-3.10335,-3.11817,0.12343,0.12518
0.571,-3.10359,-3.10972,0.12005,0.12270,-3.11147,-3.12748,0.12663,0.11194,-3.10191,-3.11862,0.12575,0.12558
0.483,-3.10210,-3.11082,0.12243,0.12249,-3.10939,-3.12759,0.12957,0.11269,-3.10283,-3.12138,0.12572,0.12368
0.396,-3.10296,-3.11423,0.12246,0.11998,-3.10564,-3.12599,0.13418,0.11515,-3.10188,-3.12222,0.12755,0.12370
0.308,-3.10359,-3.11716,0.12272,0.11795,-3.10421,-3.12654,0.13646,0.11546,-3.09957,-3.12149,0.13075,0.12529
0.220,-3.10256,-3.11779,0.12464,0.11821,-3.10208,-3.12578,0.13945,0.11708,-3.09671,-3.11962,0.13449,0.12801
0.132,-3.09985,-3.11570,0.12824,0.12119,-3.09859,-3.12250,0.14380,0.12123,-3.09600,-3.11877,0.13609,0.12973
0.044,-3.09727,-3.11363,0.13172,0.12416,-3.09663,-3.12069,0.14662,0.12390,-3.09801,-3.12064,0.13497,0.12871
-0.044,-3.09596,-3.11281,0.13392,0.12588,-3.09724,-3.12147,0.14687,0.12399,-3.10029,-3.12280,0.13359,0.12742
-0.132,-3.09629,-3.11362,0.13450,0.12597,-3.10012,-3.12453,0.14485,0.12179,-3.10131,-3.12368,0.13346,0.12739
-0.220,-3.09614,-3.11394,0.13555,0.12655,-3.10323,-3.12780,0.14261,0.11939,-3.10181,-3.12405,0.13387,0.12789
-0.308,-3.09815,-3.11588,0.13444,0.12551,-3.10690,-3.13103,0.13981,0.11702,-3.10298,-3.12477,0.13359,0.12803
-0.396,-3.10300,-3.12042,0.13050,0.12188,-3.10889,-3.13232,0.13868,0.11661,-3.10859,-3.12985,0.12888,0.12382
